name,jieshao
华南师范大学计算机学院导师介绍：范冰冰,"
　　范冰冰，男，1962年3月出生，毕业于解放军理工大学，现任华南师范大学计算机学院教授、副院长，硕士导师，主要从事下一代网络NGN、信息系统安全方向的教学、研究和技术开发。目前担任广东计算机高级职称评委，广州市信息化建设专家组核心成员，广东通信学会理事，广东互联协会理事，省市科技项目评审专家，省市政府多部门顾问，广州宽带主干网高级顾问等职。曾获全军通信系统有突出贡献的优秀科技人员，总参优秀教员，总参优秀中青年专家等称号。 ,
　　目前主要承担“互联网原理与应用”，“现代网络技术”等课程教学。从1996年开始研究生指导工作，累计指导学生30名。目前研究主要集中在：下一代NGN业务开发平台、SOA技术与应用、网络攻击生成技术和平台。 ,
　　近年，主编出版“军事通信网”、“通信与计算机系统”，合作编写（或翻译）“现代通信概论”、“计算机通信与网络教程”（第三版，十一五国家规划教材）、“计算机网络与因特网”第5版；先后以第一作者发表了学术论文50多篇。主持开发完成中国公众多媒体通信网信息导航中心、中国足球管理信息全国网络系统，系列电脑图文显示系统，海军部侦情报快速处理系统，广州医药卫生信息网/电子商务系统等10多个项目开发。目前承担“网络攻击自动生成和网警应用系统”等多个研究和开发。 ,
　　 ,
　　电话: ,
　　电子邮件:, ,
　　通讯地址:广州石牌华南师范大学计算机学院计算机网络系 ,
　　邮编:510631,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , "
华南师范大学计算机学院导师介绍：陈卫东,"
　　陈卫东教授 ,
　　华南师范大学计算机学院 计算机科学系 ,
　　研究领域：图论与网络,组合优化,算法与计算复杂性 ,
　　教育经历： ,
　　1994-1997华中理工大学计算机科学理论专业硕士研究生,师从黄文奇教授,研究方向为""NP-hard问题的求解理论与技术"",获工学硕士学位 ,
　　2005-2009华南理工大学计算机应用技术专业博士研究生,师从肖文俊教授,研究方向为""网络与并行分布式计算"",获工学博士学位 ,
　　2011-2012美国达拉斯德州大学UTD(TheUniversityofTexasatDallas)计算机系访问学者 ,
　　工作经历： ,
　　1997-华南师范大学计算机学院教师.期间,1999年被评为讲师,2004年被评为副教授,2011年被评为教授 ,
　　主讲课程： ,
　　算法设计与分析,计算复杂性理论 ,
　　科学研究： ,
　　近年主持1项广东省自然科学基金项目,参与2项国家自然科学基金项目,发表学术论文10多篇 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , "
华南师范大学计算机学院导师介绍：刘波,"
　　刘波博士教授 ,
　　研究领域：云存储技术,云数据管理,网格关键技术及应用,网络及分布式计算等 ,
　　办公邮箱：, ,
　　华南师范大学计算机学院教授，硕士生导师，工学博士，广东省高等学校“千百十工程”校级培养对象，广州市计算机协会理事。 ,
　　1991年7月哈尔滨工业大学计算机软件专业本科毕业,获学士学位；1994年4月哈尔滨工业大学计算机软件专业硕士研究生毕业，获工学硕士学位。1994年4月至今在华南师范大学计算机学院任教，期间在职攻读华南理工大学计算机应用技术专业博士研究生，获工学博士学位。 ,
　　主持2项广东省自然科学基金项目、2项广东省科技计划项目、1项粤港关键领域重点突破项目子课题、1项863项目子课题和1项校级课题，作为团队项目核心成员参加1项广东省自然科学基金团队项目。发表论文20多篇。 ,
　　主要研究方向：,
　　1、云存储技术,
　　2、云数据管理,
　　3、网格关键技术及应用,
　　4、分布式安全技术,
　　5、网络及分布式计算等。 ,
　　联系方式： ,
,
　　工作单位：华南师范大学 ,
　　通讯地址：广州市石牌华南师范大学计算机学院 　　,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 "
华南师范大学计算机学院导师介绍：鲍苏苏,"
　　鲍苏苏,
　　博士教授 ,
　　研究领域：电路与电子学,信号处理,模式识别,图像处理方面的教学科研工作 ,
　　办公邮箱：,　 　 ,
　　办公地点：计算机学院307 ,
　　鲍苏苏，男，1951年9月生，湖南长沙市人，教授，硕士生导师。中国计算机学会高级会员，广东省计算机学会常务理事，中国图形图像学会广东省分会常务理事。鲍苏苏教授长期从事信号处理和数字图像处理、模式识别领域科研和教学工作，参加国家首例数字虚拟人项目，从事图像处理和引导的工业控制研究、三维图像重建、虚拟手术仿真软件研究。参加和主持过国家级项目3个，省部级项目2个，横向项目5个。获得国家实用新型专利3项，发表文章30余篇。 ,
　　联系方式： ,
　　工作单位：华南师范大学计算机学院 ,
　　通讯地址：华南师范大学计算机学院,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , "
华南师范大学计算机学院导师介绍：冯刚,"
　　姓名：冯刚 ,
　　系别：计算机工程系 ,
　　职称：副教授 ,
　　学位及授予单位：博士，西安交通大学 ,
　　 ,
　　学术特长（主要研究方向）： ,
　　嵌入式软件工程、嵌入式语音识别、自主寻物机器人 ,
　　 ,
　　学术活动（教学经历）： ,
　　1989年学士毕业，1992年硕士毕业，2004年博士毕业 ,
　　 ,
　　主讲课程： ,
　　单片机原理与应用、嵌入式软件设计、计算机组成原理 ,
　　 ,
　　发表论文： ,
　　1、冯刚，侯义斌.基于同态的软件重用技术度量.微电子学与计算机，2004，vol.9 ,
　　2、冯刚，侯义斌.软件体系结构的CDT模型.微电子学与计算机，2004，vol.10 ,
　　3、冯刚，黄小虎，陈朝晖.基于通用构造器下CDT的关系.计算机工程与应用.2006,12 ,
　　4、冯刚，陈菊红.基于同态重用的软件开发系统.计算机工程，Vol.33，No17，2007 ,
　　5、冯刚，马伟，金京林等.一种改进的公平分享调度算法.微电子学与计算机.Vol.25，No4，2008 ,
　　 ,
　　 ,
　　电子邮箱：, ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , , "
华南师范大学计算机学院导师介绍：聂瑞华,"
　　姓名：聂瑞华 ,
　　职称：教授 ,
　　学位及授予单位：硕士，毕业于东北大学 ,
　　 ,
　　学术特长（主要研究方向）： ,
　　计算机网络与应用 ,
　　 ,
　　长期在高校从事教学、科研工作。现为华南师范大学网络中心主任、学校数字校园建设办主任，负责全校网络信息化与数字校园建设工作。曾为广东省高等学校“千百十工程”优秀人才培养对象；现为中国计算机学会高性能计算专业委员会委员、中国高等教育学会教育信息化分会第五届理事会理事、广东高等教育学会信息网络专业委员会副理事长、广东省教科网专家组专家、广东省互联网协会常务理事、广州市天河区科协常委、全国高等师范学校计算机教育研究会理事。 ,
　　 ,
　　主持完成的“基于信息服务模式的数字校园集成应用平台”项目，获广州市科学技术成果，2010年荣获广州市科学技术进步二等奖；作为主要完成人负责的《构建“四个相结合”现代远程教育专门人才培养模式的研究与实践》项目，2004年获广东省教学优秀成果一等奖、2005年获教育部国家级教学优秀成果二等奖。99年荣获教育部CIETE全国多媒体教育软件大奖赛二等奖；2002年获广东省教育厅广东高校计算机多媒体优秀教学软件二等奖； 2001年荣获华南师大优秀教学成果一等奖。两次获华南师大“为了明天”中青年教师课堂教学优秀二等奖。 ,
　　 ,
　　主持负责华南师范大学“十一五”“211”面向服务的公共信息平台项目建设；主持负责2011年广东教育科研网优化升级与应用平台建设项目；负责并参与2010年国家科技支撑计划子项目“新一代可信任互联网实验网”、2009年国家教育部的批准和立项“教育科研基础设施IPv6技术升级和应用示范”项目，2007年“国家下一代互联网CNGI高校驻地网”项目建设 。主持过省（部）、市等科研课题八项，包括“面向物流的分布式多目标信息决策优化集成系统的研究”、“异构网络环境下多目标物流信息决策优化集成系统”等。 ,
　　 ,
　　近年来在国家级核心刊物及国外发表学术论文、著作与教材40余篇（部）。公开出版著作与教材6部，作为主编的《数据库系统概论》、《因特网与远程教育》二部书均在高等教育出版社出版。 　　,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：马昌社,"　　马昌社教授 ,
　　华南师范大学计算机学院 计算机网络系 ,
　　研究领域：密钥学,信息安全与物联网安全技术 ,
　　马昌社，博士，华南师范大学计算机学院教授。2005年博士毕业于上海交通大学后任教于华南师范大学，从事信息安全技术的教学科研工作。期间在新加坡管理大学从事了两年的博士后研究，主要研究物联网体系架构和安全技术。担任过RFIDSEC、ISPEC等多个国际学术会议的PC委员，现任RFIDSecAsia2013程序主席，在ACMCCS、ACMTISS和DCC等会议和杂志上发表论文30多篇。 ,
　　代表论文 ,
　　[1]ShermanS.M.Chow,ChangsheMaandJianWeng..Zero-KnowledgeArgumentforSimultaneousDiscreteLogarithms..Algorithmica,64(2):246-266,2012,Springer ,
　　[2]YingjiuLi,RobertDeng,JunzuoLaiandChangsheMa..OntwoRFIDprivacynotionsandtheirrelations..ACMTransactionsonInformationandSystemSecurity,14(4):68-85,2011. ,
　　[3]马昌社..前向隐私安全的低成本RFID认证协议..计算机学报,Vol.34,No.8,pp.1387-1398,2011. ,
　　[4]ChangsheMa,JianWeng,YingjiuLi,RobertDeng..EfficientDiscreteLogarithmBasedMulti-SignatureSchemeinthePlainPublicKeyModel..Design,CodesandCryptography,54(2):121-133,Springer,2010. ,
　　[5]ChangsheMa,YingjiuLi,RobertDeng,TieyanLi..RFIDPrivacy:RelationbetweenTwoNotions,MinimalCondition,andEfficientConstruction..16thACMConferenceonComputerandCommunicationsSecurity(ACMCCS2009),pages54-65,Chicago,US,November9-13,2009 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , , , "
华南师范大学计算机学院导师介绍：李岩,"
　　姓名：李岩 ,
　　系别：计算机应用系 ,
　　职称：教授 ,
　　学位及授予单位：硕士，荷兰国际宇航学院 ,
　　 ,
　　学术特长（主要研究方向）： ,
　　目前，主要从事下一代网络空间信息与多媒体信息发布技术、智能空间位置服务、空间信息服务技术，以及城乡时空信息集成与应用等研究。 ,
　　 ,
　　学术兼职： ,
　　曾任中国地理信息系统协会理事； ,
　　中国理学会地图与地理信息系统专业委员会委员等； ,
　　现任广东省遥感与地理信息系统应用重点实验室副主任； ,
　　广东省遥感与GIS学会常务理事； ,
　　广州市智能学会常务理事 ,
　　 ,
　　 ,
　　学术活动：（教学经历） ,
　　1977年大学毕业后，在中国科学院新疆地理研究所遥感研究室从事科研工作。此间，曾参加北京大学遥感高级研讨班的培训；曾赴荷兰国际宇航与地学学院（ITC）学习，获得应用GIS的理科硕士学位。1996年调入广州地理研究所资源与环境信息中心，继续科研工作，曾任广州地理研究所资源环境信息中心常务副主任、主任；广东省遥感与地理信息系统应用重点实验室常务副主任；2001年12月调入华南师范大学计算机科学系，现任华南师范大学计算机学院副院长；华南师范大学空间信息技术与应用研究中心主任； ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , "
华南师范大学计算机学院导师介绍：葛红,"
　　姓名：葛红 ,
　　系别：计算机工程系 ,
　　职称：副教授 ,
　　学位及授予单位：博士 ,
　　学术特长（主要研究方向）： ,
　　智能化信息处理方法及其应用研究，包括：人工神经网络、遗传算法、免疫算法、人工智能及多源信息融合识别技术等 ,
　　常年从事“数字电路”、“电路与电子学”本科教学工作，也教授过“汇编语言程序设计”、“计算机组成原理”、“微机原理及接口技术”等课程。承担研究生课程包括：“人工神经网络及其应用”、“人工智能与模式识别”。其他教学工作包括：翻译原版教材；开展“数字电路”双语教学；参与大类招生专业培养方案修订。 ,
　　 　 ,
　　学术活动：（教学经历） ,
　　学习简历： ,
　　 ,
　　1985年9月~1989年7月，于重庆大学自动化系自动控制专业,获工学学士学位 ,
　　1994年9月~1997年4月就读于华南理工大学自动化系计算机控制技术专业,获工学硕士学位 ,
　　2000年9月~2003年7月，在职就读于华南理工大学自动化科学与工程学院控制理论与控制工程专业,获工学博士学位 ,
　　工作简历： 　　 ,
　　1989年7月~1994年9月，于襄樊理工学院自电系任教，助教 ,
　　1994年4月~现在，于华南师范大学计算机系任教，副教授 ,
　　2005年12月~2008年11月，于华南理工大学信息与通信工程博士后流动站从事博士后研究工作 ,
　　 ,
　　科研项目： ,
　　2005~2007，广东省科技攻关项目“巡线机器人关键技术制作与开发” ,
　　2008~2010，国家自然科学基金“在线空间叠合分析理论与方法研究” 　　 ,
　　专著与教材： ,
　　林生，葛红，金京林。数字设计——原理与实践（第四版）(DigitalDesign–principlesandpractices)，机械工业出版社，2006、7 ,
　　2.　葛红，黄河，吴继明。VHDL设计指南，机械工业出版社，2005、6 ,
　　 ,
　　发表论文： ,
　　[1]葛红，田联房。信息融合技术在模式识别中的应用。计算机应用研究，2009，26（1）：19-24 ,
　　[2]葛红，田联房。基于AIN信息融合方法的应用研究，计算机工程与应用，2008，44（12）：16-18 ,
　　[3]HongGe,LianFangTian,ResearchonAINAppliedtoInformationFusion.OCT.18-20,2008,Jinan,China.　　The4thInternationalConferenceonNaturalComputation(ICNC'08)andthe5thInternationalConferenceonFuzzy　　SystemsandKnowledgeDiscovery(FSKD'08).(IndexedbyEIandISTP) ,
　　[4]葛红，章登科，徐春鸽，核聚类人工免疫网络评价函数研究。哈尔滨工程大学学报(增刊)，2006，　　　27　（Suppl.）：237-240（EI收录） ,
　　[5]GeHong,MaoZongyuan.ImmuneAlgorithm,Proc.Ofthe4thWorldCongressonIntelligentControland　　Automation,June10-14,2002,Shanghai,China.01EX527Volume3of4.PressofEastChinaUniversityofScinence　　andTechnology.1784-1788. ,
　　[6]葛红，毛宗源。一种新的数据分析方法：人工免疫网络。计算机工程与应用，2002，38（13）：6-10 ,
　　[7]葛红，毛宗源。免疫算法的改进。计算机工程与应用，2002，38（14）：47-49 ,
　　[8]葛红，毛宗源。免疫算法几个参数的研究。华南理工大学学报，2002，30（12）：15-18 ,
　　[9]葛红，毛宗源。免疫算法的实现。计算机工程，2003，29（5）：62-64 ,
　　[10]葛红。免疫算法与遗传算法的比较。暨南大学学报，2003，24（1）：22-25 ,
　　[11]HongGe,ANewClusteringAnalysismethodbasedonImmuneAlgorithm:KernelClusteringArtificialImmune　　Network.DYNMICSOFCONTINUOUSDISCRETEANDIMPULSIVESYSTEM.2006,2（SCI收录） ,
　　　 ,
　　研究生要求：对科研有兴趣，愿意接受新事物。 ,
　　电子邮箱：, ,
　　办公电话：02085211646 ,
　　通信地址：广州石牌华南师范大学计算机学院305 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 "
华南师范大学计算机学院导师介绍：庞雄文,"
　　庞雄文，男，1972年，副教授、华南师范大学计算机学院。1996毕业于哈尔滨工业大学，1996-2004年一直从事管理信息系统的开发，历任项目经理、研发总监等职位；2007年华南理工大学计算机应用博士；主要研究领域为：数据集成；数据(文本)挖掘；大数据 ,
　　 ,
　　联系信息 ,
　　所在单位:华南师范大学 计算机学院 ,
　　联系地址:华南师范大学计算机学院 ,
　　联系邮箱:, ,
　　个人主页:, ,
　　QQ:443121909 ,
　　电话:85211353-501,13794449066 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, "
华南师范大学计算机学院导师介绍：李兴民,"
　　李兴民，男，1957生，山东省陵县人,北京大学理学博士,中共党员,教授. ,
　　94年起为美国数学会会员.94年晋升为副教授.95获山东省科技进步二等奖（第二位）.95-98在北京大学数学科学学院师从彭立中教授、程民德教授攻读博士学位。博士论文《八元数分析》被评为北京大学优秀博士论文.2000年晋升为教授. ,
　　主持和参加多项国家、省市级科研项目；多次在国际、国内学术会议作邀请报告.在《Proc.AMS》《JMAA》《中国科学》等刊物发表数学与计算机方面的研究论文60余篇.现为华南师范大学校学术委员会委员、计算机学院计算机应用研究所副所长。 ,
　　　研究领域：调和分析、四元数分析、八元数分析、Clifford分析、小波分析、时频分析与信号处理、数字图像处理、医学图像三维可视化、3D动漫与游戏、神经网络、掌纹识别、数字水印、数字中医、周易等。 ,
　　　 ,
　　 ,
　　目前参与承担的科研项目： ,
　　2011.1-2013.12计算机辅助腹部外科可视化仿真手术系统的研究及产业化开发, ,
　　广东省和中科院产学研合作项目(No.2009B080701077)； ,
　　2012-2015图像引导下的高风险手术系列产品开发，国家高技术研究发展计划863计划（2012AA021105） ,
　　2012-2014国人个体化肝外胆管血供3D的研究，国家自然科学基金项目（81170458） ,
　　 ,
　　 ,
　　电话:02085211349－218 ,
　　电子邮件:　,　 ,
　　通讯地址:广州石牌华南师范大学计算机学院计算机科学系 ,
　　邮编:510631 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , , "
华南师范大学计算机学院导师介绍：肖菁,"
　　个人简介 ,
　　肖菁　　副教授,
获武汉大学学士、硕士，新加坡国立大学博士学位。华南师范大学计算机学院副教授，硕士生导师，系主任。目前主要研究方向为计算智能（利用智能优化算法求解函数优化、路径优化、工作流/车辆调度、项目管理等问题），数据挖掘（文本信息和生物信息的挖掘）和信息检索（桌面/Web智能搜索引擎的研究与应用）。在国际知名的人工智能杂志和会议上发表了计算智能、Web文本检索和中英文信息抽取等方面的论文30多篇。并多次参加在美国、欧洲举行的国际学术会议并作会议学术报告。主持的科研项目有：国家自然科学基金、广东省自然科学基金团队研究项目（核心成员）、教育部博士点新教师基金、教育部留学回国人员基金、软件工程国家重点实验室开放基金、广东省信息安全重点实验室开放基金和广州市科技攻关计划项目等。独立指导全日制学术型硕士和工程硕士20多名，其中学生曾获得IBM优秀研究生和广东省南粤优秀研究生称号。 ,
 ,　　欢迎对研究感兴趣的本科生和研究生跟我联系，要求C/C++编程能力强，踏实、勤奋、好学。 ,
　　 ,
　　论文 ,
　　[1]JingXiao,Xian-tingAo,YongTang.Solvingsoftwareprojectschedulingproblemswithantcolonyoptimization.Computers&OperationsResearch,vol.40,issue1,Jan.2013.pp.33-46.(SCI) ,
　　[2]肖菁，吴洲.基于时间轴的软件多项目任务调度遗传算法.计算机科学,39(12),pp.133-138,2012. ,
　　[3]肖菁，梁燕辉.基于改进Ant-miner算法的分类规则挖掘.计算机工程,38(17):162-165.2012. ,
　　[4]肖菁，潘中亮.股票价格短期预测的LM遗传神经网络算法.计算机应用,32(增1):144-146.2012. ,
　　[5]JingXiao,LiangPingLi..AHybridAntColonyOptimizationforContinuousDomains..ExpertSystemswithApplications,vol.38,issue9,pp.11072-11077.2011.(SCI) ,
　　[6]JingXiao,YupingYan,JunZhangandYongTang.AQuantum-inspiredGeneticAlgorithmfork-meansClustering.ExpertSystemswithApplications,vol.37,pp.4966-4973.July.2010.(SCI) ,
　　[7]肖菁,李亮平,XIAOJing,LILiang-ping.基于信息熵调整的自适应蚁群算法.计算机工程与设计,2010 ,
　　[8]Xiao-MinHu,JunZhang,HenryShu-HungChung,OuLiuandJingXiao.AnIntelligentTestingSystemEmbeddedwithanAnt-Colony-Optimization-BasedTestCompositionMethod.IEEETransactionsonSystems,Man,andCybernetics-PartC:ApplicationsandReviewsVol.39,No.6,2009,pp.659-669.(SCI) ,
　　[9]JingXiao,YupingYan,JunZhang.HPBILc:AHistogram-basedEDAforContinuousOptimization.AppliedMathematicsandComputationVol.215,No.3,pp.973-982.Oct.2009.(SCI) ,
　　[10]Xiao-minHu,JunZhang,JingXiaoandYunLi.ProteinFoldinginHydrophobic-PolarLatticeModel:AFlexibleAntColonyOptimizationApproach.ProteinandPeptideLettersVol.15,No.5,pp.469-477,2008.(SCI) ,
　　[11]YingLin,JunZhangandJingXiao.PseudoParallelAntColonyOptimizationforContinuousFunctions.AppliedMathematicsandComputationVol.205,No.2,pp.677-687,2008.(SCI) ,
　　[12]JingXiao,YuPingYan,YingLin,LingYuanandJunZhang.AQuantum-inspiredGeneticAlgorithmforDataClustering.proceedingsofIEEECongressonEvolutionaryComputation2008(IEEECEC2008)pp.1513-1519.(EI) ,
　　[13]JingXiao.FuzzyPatternRuleInductionforInformationExtraction.LectureNotesinComputerScience(LNCS4683),pp.641-651,2007.(EI) ,
　　[14]JingXiao,GuanNengHuangandYongTang.AnOpenSourceWebBrowserforVisuallyImpaired.LectureNotesinComputerScience(LNCS4681),pp.90-101,2007.(EI) ,
　　[15]Zhi-huiZhan,JingXiaoandJunZhang,Wei-nengChen.AdaptiveControlofAccelerationCoefficientsforParticleSwarmOptimizationBasedonClusteringAnalysis.IEEECongressonEvolutionaryComputation2007(IEEECEC2007),pp.3276-3282.(EI) ,
　　[16]JingXiao.ATwo-ViewCoTrainingRuleInductionSystemforInformationExtraction.LectureNotesinArtificialIntelligence(LNAI4114),pp.1183-1190,2006.(SCI) ,
　　项目 ,
　　[1]云计算核心技术及云服务应用研究.广东省自然科学基金团队研究项目.汤庸、赵淦森、蒋运承、刘波、肖菁 ,
　　[2]全球交付模式下IT项目集柔性资源约束调度方法的研究.国家自然科学基金.肖菁 ,
　　[3]文本特征提取优化的自适应蚁群算法解决方案的研究.教育部博士点基金.肖菁 ,
　　[4]信息抽取与文本挖掘互惠模型的研究.教育部留学回国人员基金.肖菁 ,
　　[5]数字水印参数阈值优化的蚁群算法研究.广东省信息安全重点实验室开放基金.肖菁 ,
　　教学 ,
　　[1]2012-2013二学期高级语言程序设计80学时大学城 ,
　　[2]2012-2013一学期面向对象建模与UML40学时石牌 ,
　　[3]2012-2013一学期程序语言基础30学时石牌 ,
　　联系方式 ,
　　所在单位: 华南师范大学计算机学院  ,
　　联系地址: 广州市中山大道西55号，华南师范大学计算机学院，510631 ,
　　联系邮箱: , ,
　　个人主页: , 　　,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, , "
华南师范大学计算机学院导师介绍：王涛,"
　　姓名：王涛 ,
　　系别：计算机应用系 ,
　　职称：副教授 ,
　　学位及授予单位：工科博士（华南理工大学） ,
　　 ,
　　学术特长（主要研究方向）： ,
　　1．软件工程;软件开发过程管理与优化;软件自动开发技术;软件设计模型的描述与验证;基于形式化模型的软件自动生成与;需求、模型与代码的形式化描述; ,
　　2．信息安全技术应用;用户权限管理与信息等级保护;安全协议分析与验证技术;网络攻击与防御应用技术与实现;RFID的安全通信与可控存取 ,
　　3．形式化分析方法设计及比较;形式化语义学； ,
　　 ,
　　学术兼职： ,
　　广东省计算机信息网络安全协会　专家委员会成员 ,
　　 ,
　　学术活动：（教学经历） ,
　　1994年9月到1998年7月:在华南理工大学电信学院计算机系本科就读,专业为计算机软件 ,
　　1998年9月到2000年7月:获保送在华南理工大学计算机系就读硕士研究生,导师为周浩华教授，专业方向为计算机体系结构(计算机网络方向) ,
　　2000年9月到2004年12月:获保送在华南理工大学计算机学院就读博士研究生,导师为郭荷清教授，专业为“计算机应用技术”，方向为""网络信息系统集成与全"",2004年12月通过博士论文答辩,获工科博士学位． 2004年12月至今:在华南师范大学计算机学院工作 ,
　　 ,
　　主讲课程： ,
　　本科生课程：《计算机辅助软件工程》 ,
　　研究生课程：《软件工程方法学》《软件体系结构》 ,
　　 ,
　　科研项目： ,
　　基于安全微支付技术的无线通信计算环境安全认证方案．广东省自然科学基金项目（博士启动项目）．个人排名：1 ,
　　网络攻击自动生成与网络犯罪侦训系统（华南师范大学计算机学院范冰冰教授主持）．广东省科技计划项目．个人排名：2 ,
　　高效可证明紧致安全的数字签名技术研究（华南师范大学计算机学院马昌社副教授主持）．国家自然科学基金项目．个人排名：3 ,
　　 ,
　　发表论文： ,
　　串空间模型中对协议公平性的形式化定义． 计算机工程与应用(ISSN1002-8331)．．2004．12 ,
　　一个安全协议度量方法及其应用．计算机工程与设计(ISSN1000-7024)．2005．3 ,
　　安全微支付技术应用于分布式系统安全审计的研究． 通信学报(ISSN 1000-436X)2005．5 ,
　　基于综合安全保护质量的分布式安全服务协商模型．计算机工程与科学(ISSN1007-130X)．2006．4 ,
　　一个基于模态逻辑的安全协议度量方法．华南理工大学学报(自然科学版)．2004．11．(EI索引) ,
　　教学活动链――基于过程描述的教学活动抽象模型（教学研究论文）． 2005．11．信息技术教学应用优质示范课程．华南师范大学教育技术研究所． ,
　　A Measure and Design Method of Se肖curity Protocol． InProceeding: 2004 International Symposium on DistributedComputing and Applications to Business, Engineering andScience(DCABES 2004)．2004．9．(ISTP索引) ,
　　基于综合安全保护质量的分布式安全服务协商模型．计算机工程与科学(ISSN1007-130X)．2006,4 ,
　　(以上均为第一作者) ,
　　 ,
　　松涛,郭荷清,王涛．用设计模式表示面向对象软件体系的结构．华南理工大学学报(自然科学版)．2004,5． ,
　　 ,
　　获奖情况： ,
　　2004年度广东省科技进步三等奖（排名第5） ,
　　 ,
　　电子邮箱：, 　, ,
　　办公电话：(+86)020-88402116　13826430236 ,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, "
